Date,Close
20170130,19971.130859
20170131,19864.089844
20170201,19890.939453
20170202,19884.910156
20170203,20071.460938
20170206,20052.419922
20170207,20090.289063
20170208,20054.339844
20170209,20172.400391
20170210,20269.369141
20170213,20412.160156
20170214,20504.410156
20170215,20611.859375
20170216,20619.769531
20170217,20624.050781
20170221,20743.000000
20170222,20775.599609
20170223,20810.320313
20170224,20821.759766
20170227,20837.439453
20170228,20812.240234
20170301,21115.550781
20170302,21002.970703
20170303,21005.710938
20170306,20954.339844
20170307,20924.759766
20170308,20855.730469
20170309,20858.189453
20170310,20902.980469
20170313,20881.480469
20170314,20837.369141
20170315,20950.099609
20170316,20934.550781
20170317,20914.619141
20170320,20905.859375
20170321,20668.009766
20170322,20661.300781
20170323,20656.580078
20170324,20596.720703
20170327,20550.980469
20170328,20701.500000
20170329,20659.320313
20170330,20728.490234
20170331,20663.220703
20170403,20650.210938
20170404,20689.240234
20170405,20648.150391
20170406,20662.949219
20170407,20656.099609
20170410,20658.019531
20170411,20651.300781
20170412,20591.859375
20170413,20453.250000
20170417,20636.919922
20170418,20523.279297
20170419,20404.490234
20170420,20578.710938
20170421,20547.759766
20170424,20763.890625
20170425,20996.119141
20170426,20975.089844
20170427,20981.330078
20170428,20940.509766
20170501,20913.460938
20170502,20949.890625
20170503,20957.900391
20170504,20951.470703
20170505,21006.939453
20170508,21012.279297
20170509,20975.779297
20170510,20943.109375
20170511,20919.419922
20170512,20896.609375
20170515,20981.939453
20170516,20979.750000
20170517,20606.929688
20170518,20663.019531
20170519,20804.839844
20170522,20894.830078
20170523,20937.910156
20170524,21012.419922
20170525,21082.949219
20170526,21080.279297
20170530,21029.470703
20170531,21008.650391
20170601,21144.179688
20170602,21206.289063
20170605,21184.039063
20170606,21136.230469
20170607,21173.689453
20170608,21182.529297
20170609,21271.970703
20170612,21235.669922
20170613,21328.470703
20170614,21374.560547
20170615,21359.900391
20170616,21384.279297
20170619,21528.990234
20170620,21467.140625
20170621,21410.029297
20170622,21397.289063
20170623,21394.759766
20170626,21409.550781
20170627,21310.660156
20170628,21454.609375
20170629,21287.029297
20170630,21349.630859
20170703,21479.269531
20170705,21478.169922
20170706,21320.039063
20170707,21414.339844
20170710,21408.519531
20170711,21409.070313
20170712,21532.140625
20170713,21553.089844
20170714,21637.740234
20170717,21629.720703
20170718,21574.730469
20170719,21640.750000
20170720,21611.779297
20170721,21580.070313
20170724,21513.169922
20170725,21613.429688
20170726,21711.009766
20170727,21796.550781
20170728,21830.310547
20170731,21891.119141
20170801,21963.919922
20170802,22016.240234
20170803,22026.099609
20170804,22092.810547
20170807,22118.419922
20170808,22085.339844
20170809,22048.699219
20170810,21844.009766
20170811,21858.320313
20170814,21993.710938
20170815,21998.990234
20170816,22024.869141
20170817,21750.730469
20170818,21674.509766
20170821,21703.750000
20170822,21899.890625
20170823,21812.089844
20170824,21783.400391
20170825,21813.669922
20170828,21808.400391
20170829,21865.369141
20170830,21892.429688
20170831,21948.099609
20170901,21987.560547
20170905,21753.310547
20170906,21807.640625
20170907,21784.779297
20170908,21797.789063
20170911,22057.369141
20170912,22118.859375
20170913,22158.179688
20170914,22203.480469
20170915,22268.339844
20170918,22331.349609
20170919,22370.800781
20170920,22412.589844
20170921,22359.230469
20170922,22349.589844
20170925,22296.089844
20170926,22284.320313
20170927,22340.710938
20170928,22381.199219
20170929,22405.089844
20171002,22557.599609
20171003,22641.669922
20171004,22661.640625
20171005,22775.390625
20171006,22773.669922
20171009,22761.070313
20171010,22830.679688
20171011,22872.890625
20171012,22841.009766
20171013,22871.720703
20171016,22956.960938
20171017,22997.439453
20171018,23157.599609
20171019,23163.039063
20171020,23328.630859
20171023,23273.960938
20171024,23441.759766
20171025,23329.460938
20171026,23400.859375
20171027,23434.189453
20171030,23348.740234
20171031,23377.240234
20171101,23435.009766
20171102,23516.259766
20171103,23539.189453
20171106,23548.419922
20171107,23557.230469
20171108,23563.359375
20171109,23461.939453
20171110,23422.210938
20171113,23439.699219
20171114,23409.470703
20171115,23271.279297
20171116,23458.359375
20171117,23358.240234
20171120,23430.330078
20171121,23590.830078
20171122,23526.179688
20171124,23557.990234
20171127,23580.779297
20171128,23836.710938
20171129,23940.679688
20171130,24272.349609
20171201,24231.589844
20171204,24290.050781
20171205,24180.640625
20171206,24140.910156
20171207,24211.480469
20171208,24329.160156
20171211,24386.029297
20171212,24504.800781
20171213,24585.429688
20171214,24508.660156
20171215,24651.740234
20171218,24792.199219
20171219,24754.750000
20171220,24726.650391
20171221,24782.289063
20171222,24754.060547
20171226,24746.210938
20171227,24774.300781
20171228,24837.509766
20171229,24719.220703
20180102,24824.009766
20180103,24922.679688
20180104,25075.130859
20180105,25295.869141
20180108,25283.000000
20180109,25385.800781
20180110,25369.130859
20180111,25574.730469
20180112,25803.189453
20180116,25792.859375
20180117,26115.650391
20180118,26017.810547
20180119,26071.720703
20180122,26214.599609
20180123,26210.810547
20180124,26252.119141
20180125,26392.789063
20180126,26616.710938
20180129,26439.480469
20180130,26076.890625
20180131,26149.390625
20180201,26186.710938
20180202,25520.960938
20180205,24345.750000
20180206,24912.769531
20180207,24893.349609
20180208,23860.460938
20180209,24190.900391
20180212,24601.269531
20180213,24640.449219
20180214,24893.490234
20180215,25200.369141
20180216,25219.380859
