"Date","Close"
20170131,19041.34
20170201,19148.08
20170202,18914.58
20170203,18918.20
20170206,18976.71
20170207,18910.78
20170208,19007.60
20170209,18907.67
20170210,19378.93
20170213,19459.15
20170214,19238.98
20170215,19437.98
20170216,19347.53
20170217,19234.62
20170220,19251.08
20170221,19381.44
20170222,19379.87
20170223,19371.46
20170224,19283.54
20170227,19107.47
20170228,19118.99
20170301,19393.54
20170302,19564.80
20170303,19469.17
20170306,19379.14
20170307,19344.15
20170308,19254.03
20170309,19318.58
20170310,19604.61
20170313,19633.75
20170314,19609.50
20170315,19577.38
20170316,19590.14
20170317,19521.59
20170321,19455.88
20170322,19041.38
20170323,19085.31
20170324,19262.53
20170327,18985.59
20170328,19202.87
20170329,19217.48
20170330,19063.22
20170331,18909.26
20170403,18983.23
20170404,18810.25
20170405,18861.27
20170406,18597.06
20170407,18664.63
20170410,18797.88
20170411,18747.87
20170412,18552.61
20170413,18426.84
20170414,18335.63
20170417,18355.26
20170418,18418.59
20170419,18432.20
20170420,18430.49
20170421,18620.75
20170424,18875.88
20170425,19079.33
20170426,19289.43
20170427,19251.87
20170428,19196.74
20170501,19310.52
20170502,19445.70
20170508,19895.70
20170509,19843.00
20170510,19900.09
20170511,19961.55
20170512,19883.90
20170515,19869.85
20170516,19919.82
20170517,19814.88
20170518,19553.86
20170519,19590.76
20170522,19678.28
20170523,19613.28
20170524,19742.98
20170525,19813.13
20170526,19686.84
20170529,19682.57
20170530,19677.85
20170531,19650.57
20170601,19860.03
20170602,20177.28
20170605,20170.82
20170606,19979.90
20170607,19984.62
20170608,19909.26
20170609,20013.26
20170612,19908.58
20170613,19898.75
20170614,19883.52
20170615,19831.82
20170616,19943.26
20170619,20067.75
20170620,20230.41
20170621,20138.79
20170622,20110.51
20170623,20132.67
20170626,20153.35
20170627,20225.09
20170628,20130.41
20170629,20220.30
20170630,20033.43
20170703,20055.80
20170704,20032.35
20170705,20081.63
20170706,19994.06
20170707,19929.09
20170710,20080.98
20170711,20195.48
20170712,20098.38
20170713,20099.81
20170714,20118.86
20170718,19999.91
20170719,20020.86
20170720,20144.59
20170721,20099.75
20170724,19975.67
20170725,19955.20
20170726,20050.16
20170727,20079.64
20170728,19959.84
20170731,19925.18
20170801,19985.79
20170802,20080.04
20170803,20029.26
20170804,19952.33
20170807,20055.89
20170808,19996.01
20170809,19738.71
20170810,19729.74
20170814,19537.10
20170815,19753.31
20170816,19729.28
20170817,19702.63
20170818,19470.41
20170821,19393.13
20170822,19383.84
20170823,19434.64
20170824,19353.77
20170825,19452.61
20170828,19449.90
20170829,19362.55
20170830,19506.54
20170831,19646.24
20170901,19691.47
20170904,19508.25
20170905,19385.81
20170906,19357.97
20170907,19396.52
20170908,19274.82
20170911,19545.77
20170912,19776.62
20170913,19865.82
20170914,19807.44
20170915,19909.50
20170919,20299.38
20170920,20310.46
