"Date","Close"
20170131,82.874
20170201,82.431
20170202,82.403
20170203,82.185
20170204,82.267
20170207,81.798
20170208,82.033
20170209,81.285
20170210,81.356
20170211,81.502
20170214,81.612
20170215,81.883
20170216,82.460
20170217,81.692
20170218,80.969
20170221,81.262
20170222,81.396
20170223,81.448
20170224,81.409
20170225,80.592
20170228,81.019
20170301,81.071
20170302,81.252
20170303,80.781
20170304,80.257
20170307,79.628
20170308,79.250
20170309,79.061
20170310,79.266
20170311,79.392
20170314,79.524
20170315,79.374
20170316,79.837
20170317,79.136
20170318,79.000
20170321,79.375
20170322,78.651
20170323,78.285
20170324,77.959
20170325,78.208
20170328,77.915
20170329,77.939
20170330,78.064
20170331,78.279
20170401,77.946
20170404,77.775
20170405,77.207
20170406,77.057
20170407,77.211
20170408,76.965
20170411,77.198
20170412,76.234
20170413,75.920
20170414,76.363
20170415,76.002
20170418,76.330
20170419,76.332
20170420,76.218
20170421,76.623
20170422,76.612
20170425,76.999
20170426,77.196
20170427,76.509
20170428,76.480
20170429,76.480
20170502,77.239
20170503,77.659
20170504,77.541
20170505,77.235
20170506,77.906
20170509,78.218
20170510,78.587
20170511,79.159
20170512,77.977
20170513,77.679
20170516,78.257
20170517,77.841
20170518,76.894
20170519,76.891
20170520,76.997
20170523,77.857
20170524,78.350
20170525,78.577
20170526,78.525
20170527,78.607
20170530,78.457
20170531,78.646
20170601,78.426
20170602,78.624
20170603,78.857
20170606,78.843
20170607,78.578
20170608,79.021
20170609,79.358
20170610,79.539
20170613,79.130
20170614,79.454
20170615,79.642
20170616,79.953
20170617,80.331
20170620,80.612
20170621,80.677
20170622,80.343
20170623,80.849
20170624,81.003
20170627,81.510
20170628,81.647
20170629,82.020
20170630,81.842
20170701,82.402
20170704,82.698
20170705,82.513
20170706,82.536
20170707,82.349
20170708,82.871
20170711,82.951
20170712,82.311
20170713,82.129
20170714,82.921
20170715,82.630
20170718,82.406
20170719,82.327
20170720,82.314
20170721,82.776
20170722,82.806
20170725,82.618
20170726,82.964
20170727,83.578
20170728,83.276
20170729,83.135
20170801,82.824
20170802,82.416
20170803,82.261
20170804,81.795
20170805,82.017
20170808,81.511
20170809,80.831
20170810,80.750
20170811,79.474
20170812,79.878
20170815,79.861
20170816,80.049
20170817,80.547
20170818,79.772
20170819,79.818
20170822,79.820
20170823,79.720
20170824,78.729
20170825,78.939
20170826,79.135
20170829,79.250
20170830,79.598
20170831,79.348
20170901,78.909
