"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年10月31日","3393.34","3,381.00","3,397.10","3,376.12","15.35B","0.09%"
"2017年10月30日","3390.34","3,413.87","3,419.73","3,357.28","20.83B","-0.77%"
"2017年10月27日","3416.81","3,404.50","3,421.10","3,402.11","17.03B","0.27%"
"2017年10月26日","3407.57","3,397.52","3,414.24","3,391.45","18.38B","0.31%"
"2017年10月25日","3396.90","3,384.86","3,398.30","3,382.03","12.31B","0.26%"
"2017年10月24日","3388.25","3,376.60","3,388.69","3,374.12","13.99B","0.22%"
"2017年10月23日","3380.70","3,382.28","3,385.29","3,374.70","13.08B","0.06%"
"2017年10月20日","3378.65","3,363.51","3,379.77","3,360.10","12.72B","0.25%"
"2017年10月19日","3370.17","3,374.64","3,378.74","3,359.63","15.85B","-0.34%"
"2017年10月18日","3381.79","3,373.53","3,383.23","3,371.92","15.72B","0.29%"
"2017年10月17日","3372.04","3,373.23","3,382.41","3,365.56","12.54B","-0.19%"
"2017年10月16日","3378.47","3,393.21","3,400.51","3,374.77","17.43B","-0.36%"
"2017年10月13日","3390.52","3,384.49","3,395.75","3,383.24","14.00B","0.13%"
"2017年10月12日","3386.10","3,385.53","3,390.20","3,372.53","16.18B","-0.06%"
"2017年10月11日","3388.28","3,381.49","3,395.78","3,379.16","18.15B","0.16%"
"2017年10月10日","3382.99","3,373.34","3,384.03","3,358.80","17.94B","0.26%"
"2017年10月09日","3374.38","3,403.25","3,410.17","3,366.97","19.17B","0.76%"
"2017年09月29日","3348.94","3,340.31","3,357.02","3,340.31","14.49B","0.28%"
"2017年09月28日","3339.64","3,343.84","3,344.60","3,336.18","14.94B","-0.17%"
"2017年09月27日","3345.27","3,340.82","3,349.69","3,340.30","14.31B","0.05%"
"2017年09月26日","3343.58","3,336.35","3,347.16","3,332.60","13.26B","0.06%"
"2017年09月25日","3341.55","3,344.59","3,350.96","3,334.94","16.96B","-0.33%"
"2017年09月22日","3352.53","3,347.16","3,356.45","3,334.98","17.92B","-0.16%"
"2017年09月21日","3357.81","3,364.70","3,377.88","3,356.88","19.74B","-0.24%"
"2017年09月20日","3366.00","3,352.18","3,370.10","3,346.54","19.22B","0.27%"
"2017年09月19日","3356.84","3,365.53","3,370.40","3,344.71","19.11B","-0.18%"
"2017年09月18日","3362.86","3,352.51","3,371.75","3,352.51","19.03B","0.28%"
"2017年09月15日","3353.62","3,365.15","3,365.53","3,345.33","21.98B","-0.53%"
"2017年09月14日","3371.43","3,383.47","3,391.64","3,361.33","22.13B","-0.38%"
"2017年09月13日","3384.15","3,374.72","3,387.14","3,366.54","19.46B","0.14%"
"2017年09月12日","3379.49","3,381.49","3,391.07","3,370.85","27.29B","0.09%"
"2017年09月11日","3376.42","3,365.35","3,384.81","3,360.05","21.90B","0.33%"
"2017年09月08日","3365.24","3,364.43","3,380.89","3,353.69","19.84B","-0.01%"
"2017年09月07日","3365.50","3,383.63","3,387.80","3,363.18","22.11B","-0.59%"
"2017年09月06日","3385.39","3,372.43","3,391.01","3,364.76","22.91B","0.03%"
"2017年09月05日","3384.32","3,377.20","3,390.82","3,371.57","21.66B","0.14%"
"2017年09月04日","3379.58","3,369.72","3,381.40","3,359.13","26.74B","0.37%"
"2017年09月01日","3367.12","3,365.99","3,381.93","3,358.47","28.25B","0.19%"
"2017年08月31日","3360.81","3,361.46","3,367.36","3,340.69","23.44B","-0.08%"
"2017年08月30日","3363.63","3,361.82","3,376.65","3,357.08","24.69B","-0.05%"
"2017年08月29日","3365.23","3,362.06","3,374.59","3,354.46","21.95B","0.08%"
"2017年08月28日","3362.65","3,336.13","3,375.03","3,336.13","25.75B","0.93%"
"2017年08月25日","3331.52","3,271.46","3,331.91","3,271.46","20.58B","1.83%"
"2017年08月24日","3271.51","3,287.96","3,297.99","3,266.36","16.35B","-0.49%"
"2017年08月23日","3287.70","3,283.80","3,299.46","3,274.44","17.98B","-0.08%"
"2017年08月22日","3290.23","3,287.61","3,293.48","3,274.94","18.65B","0.10%"
"2017年08月21日","3286.91","3,274.58","3,287.52","3,270.48","18.61B","0.56%"
"2017年08月18日","3268.72","3,253.24","3,275.08","3,248.08","19.11B","0.01%"
"2017年08月17日","3268.43","3,253.85","3,269.14","3,251.46","20.36B","0.68%"
"2017年08月16日","3246.45","3,247.85","3,248.78","3,228.87","17.69B","-0.15%"
"2017年08月15日","3251.26","3,235.23","3,263.59","3,235.10","18.23B","0.43%"
"2017年08月14日","3237.36","3,206.04","3,240.05","3,206.04","19.03B","0.90%"
"2017年08月11日","3208.54","3,237.92","3,245.12","3,200.75","26.30B","-1.63%"
"2017年08月10日","3261.75","3,269.73","3,282.52","3,236.18","24.07B","-0.42%"
"2017年08月09日","3275.57","3,277.81","3,277.94","3,263.85","23.56B","-0.19%"
"2017年08月08日","3281.87","3,277.19","3,285.48","3,269.66","25.20B","0.07%"
"2017年08月07日","3279.46","3,257.67","3,280.10","3,243.72","23.12B","0.53%"
"2017年08月04日","3262.08","3,269.32","3,287.19","3,261.31","27.59B","-0.33%"
"2017年08月03日","3272.93","3,279.99","3,293.37","3,262.16","23.33B","-0.37%"
"2017年08月02日","3285.06","3,288.52","3,305.43","3,282.04","26.67B","-0.23%"
"2017年08月01日","3292.64","3,274.37","3,292.64","3,273.50","23.72B","0.60%"
"2017年07月31日","3273.03","3,252.75","3,276.95","3,251.19","24.60B","0.61%"
"2017年07月28日","3253.24","3,240.17","3,256.37","3,232.96","18.22B","0.11%"
"2017年07月27日","3249.78","3,243.76","3,251.93","3,220.64","22.85B","0.06%"
"2017年07月26日","3247.67","3,244.46","3,264.85","3,228.04","21.35B","0.12%"
"2017年07月25日","3243.69","3,249.14","3,261.65","3,233.14","20.56B","-0.21%"
"2017年07月24日","3250.60","3,230.90","3,261.10","3,230.07","23.31B","0.39%"
"2017年07月21日","3237.98","3,236.59","3,247.71","3,231.96","20.60B","-0.21%"
"2017年07月20日","3244.86","3,227.51","3,246.24","3,225.43","23.21B","0.43%"
"2017年07月19日","3230.98","3,181.40","3,232.94","3,179.73","27.24B","1.36%"
"2017年07月18日","3187.57","3,159.73","3,187.67","3,150.13","19.06B","0.35%"
"2017年07月17日","3176.46","3,219.79","3,230.35","3,139.50","26.62B","-1.43%"
"2017年07月14日","3222.42","3,212.03","3,222.98","3,204.85","16.01B","0.13%"
"2017年07月13日","3218.16","3,192.36","3,219.27","3,190.34","19.53B","0.64%"
"2017年07月12日","3197.54","3,201.93","3,215.20","3,177.93","18.69B","-0.17%"
"2017年07月11日","3203.04","3,201.52","3,226.91","3,199.22","18.78B","-0.30%"
"2017年07月10日","3212.63","3,208.46","3,223.34","3,203.21","19.89B","-0.17%"
"2017年07月07日","3217.96","3,203.82","3,219.52","3,195.29","17.67B","0.17%"
"2017年07月06日","3212.44","3,203.86","3,215.95","3,188.77","17.58B","0.17%"
"2017年07月05日","3207.13","3,179.22","3,207.31","3,174.71","14.83B","0.76%"
"2017年07月04日","3182.80","3,192.89","3,193.06","3,174.31","14.11B","-0.41%"
"2017年07月03日","3195.91","3,192.00","3,196.29","3,177.02","14.03B","0.11%"
"2017年06月30日","3192.43","3,176.95","3,193.24","3,171.57","12.15B","0.14%"
"2017年06月29日","3188.06","3,174.98","3,188.77","3,174.28","12.88B","0.47%"
"2017年06月28日","3173.20","3,183.63","3,193.44","3,170.79","14.65B","-0.56%"
"2017年06月27日","3191.20","3,183.42","3,193.46","3,172.46","14.82B","0.18%"
"2017年06月26日","3185.44","3,157.00","3,187.89","3,156.98","17.36B","0.87%"
"2017年06月23日","3157.87","3,138.44","3,158.05","3,118.09","15.48B","0.33%"
"2017年06月22日","3147.45","3,152.24","3,186.98","3,146.64","19.13B","-0.28%"
"2017年06月21日","3156.21","3,148.99","3,157.03","3,132.62","13.67B","0.52%"
"2017年06月20日","3140.01","3,148.02","3,150.46","3,134.61","14.12B","-0.14%"
"2017年06月19日","3144.37","3,122.16","3,146.77","3,121.78","13.49B","0.68%"
"2017年06月16日","3123.17","3,126.37","3,134.25","3,117.86","12.97B","-0.30%"
"2017年06月15日","3132.49","3,125.59","3,137.59","3,117.08","14.70B","0.06%"
"2017年06月14日","3130.67","3,146.75","3,149.17","3,125.35","13.83B","-0.73%"
"2017年06月13日","3153.74","3,134.01","3,155.99","3,131.04","12.83B","0.44%"
"2017年06月12日","3139.88","3,149.53","3,164.95","3,135.31","14.67B","-0.59%"
"2017年06月09日","3158.40","3,147.45","3,165.92","3,146.11","16.01B","0.26%"
"2017年06月08日","3150.33","3,136.47","3,153.26","3,132.83","15.23B","0.32%"
"2017年06月07日","3140.32","3,101.76","3,140.77","3,098.95","17.32B","1.23%"
"2017年06月06日","3102.13","3,084.54","3,102.86","3,078.79","11.34B","0.34%"
"2017年06月05日","3091.66","3,102.11","3,105.51","3,084.83","13.26B","-0.45%"
"2017年06月02日","3105.54","3,094.23","3,110.39","3,081.85","14.25B","0.09%"
"2017年06月01日","3102.62","3,108.42","3,113.52","3,097.68","16.30B","-0.47%"
"2017年05月31日","3117.18","3,125.33","3,143.28","3,111.56","15.29B","0.23%"
"2017年05月26日","3110.06","3,101.29","3,120.66","3,100.39","15.59B","0.07%"
"2017年05月25日","3107.83","3,055.34","3,114.66","3,052.83","19.14B","1.43%"
"2017年05月24日","3064.08","3,047.57","3,064.81","3,022.30","13.98B","0.07%"
"2017年05月23日","3061.95","3,069.39","3,084.24","3,050.84","17.83B","-0.45%"
"2017年05月22日","3075.68","3,087.17","3,103.94","3,063.15","15.37B","-0.48%"
"2017年05月19日","3090.63","3,086.71","3,095.48","3,081.28","12.96B","0.02%"
"2017年05月18日","3090.14","3,082.33","3,103.44","3,077.96","14.86B","-0.46%"
"2017年05月17日","3104.44","3,107.80","3,119.58","3,101.30","16.87B","-0.27%"
"2017年05月16日","3112.96","3,082.87","3,113.51","3,060.53","17.38B","0.74%"
"2017年05月15日","3090.23","3,085.93","3,098.91","3,085.93","13.57B","0.22%"
"2017年05月12日","3083.51","3,054.11","3,090.49","3,051.87","15.97B","0.72%"
"2017年05月11日","3061.50","3,036.79","3,063.56","3,016.53","19.13B","0.29%"
"2017年05月10日","3052.78","3,078.17","3,090.82","3,051.59","16.08B","-0.90%"
"2017年05月09日","3080.53","3,064.85","3,084.21","3,056.56","13.51B","0.06%"
"2017年05月08日","3078.61","3,090.07","3,093.45","3,067.69","18.05B","-0.79%"
"2017年05月05日","3103.04","3,114.77","3,117.61","3,092.09","17.62B","-0.78%"
"2017年05月04日","3127.37","3,127.11","3,143.82","3,111.39","17.80B","-0.25%"
"2017年05月03日","3135.35","3,138.31","3,148.29","3,123.75","16.38B","-0.27%"
"2017年05月02日","3143.71","3,147.23","3,154.78","3,136.54","15.42B","-0.35%"
"2017年04月28日","3154.66","3,144.02","3,154.73","3,136.58","16.29B","0.08%"
"2017年04月27日","3152.19","3,131.35","3,155.00","3,097.33","21.18B","0.36%"
"2017年04月26日","3140.85","3,132.92","3,152.95","3,131.42","16.99B","0.20%"
"2017年04月25日","3134.57","3,123.89","3,145.27","3,117.45","15.34B","0.16%"
"2017年04月24日","3129.53","3,164.25","3,164.25","3,111.21","18.63B","-1.37%"
"2017年04月21日","3173.15","3,170.29","3,180.79","3,158.63","16.48B","0.03%"
"2017年04月20日","3172.10","3,165.66","3,178.18","3,148.18","19.09B","0.04%"
"2017年04月19日","3170.69","3,184.67","3,189.44","3,147.07","21.32B","-0.81%"
"2017年04月18日","3196.71","3,215.40","3,225.05","3,196.49","18.87B","-0.79%"
"2017年04月17日","3222.17","3,229.95","3,229.95","3,199.91","21.27B","-0.74%"
"2017年04月14日","3246.07","3,276.14","3,276.71","3,238.90","21.45B","-0.91%"
"2017年04月13日","3275.96","3,265.22","3,281.14","3,261.49","20.73B","0.07%"
"2017年04月12日","3273.83","3,283.84","3,284.93","3,262.28","26.94B","-0.46%"
"2017年04月11日","3288.97","3,266.22","3,290.39","3,244.40","28.13B","0.60%"
"2017年04月10日","3269.39","3,285.46","3,285.46","3,265.01","23.27B","-0.52%"
"2017年04月07日","3286.62","3,280.62","3,295.19","3,275.05","23.61B","0.17%"
"2017年04月06日","3281.00","3,272.19","3,286.67","3,265.76","24.53B","0.33%"
"2017年04月05日","3270.31","3,235.66","3,270.65","3,233.24","24.83B","1.48%"
"2017年03月31日","3222.51","3,206.25","3,226.25","3,205.54","19.64B","0.38%"
"2017年03月30日","3210.24","3,235.14","3,240.02","3,195.85","24.71B","-0.96%"
"2017年03月29日","3241.31","3,252.87","3,262.10","3,233.28","21.61B","-0.36%"
"2017年03月28日","3252.95","3,265.63","3,265.63","3,246.09","16.17B","-0.43%"
"2017年03月27日","3266.96","3,268.92","3,283.24","3,262.12","20.19B","-0.08%"
"2017年03月24日","3269.45","3,247.35","3,275.21","3,241.12","21.98B","0.64%"
"2017年03月23日","3248.55","3,245.81","3,262.09","3,221.93","19.30B","0.10%"
"2017年03月22日","3245.22","3,246.22","3,255.78","3,229.13","18.97B","-0.50%"
"2017年03月21日","3261.61","3,250.25","3,262.22","3,246.70","16.27B","0.33%"
"2017年03月20日","3250.81","3,241.11","3,251.13","3,228.12","17.05B","0.41%"
"2017年03月17日","3237.45","3,271.87","3,274.19","3,232.28","20.06B","-0.96%"
"2017年03月16日","3268.94","3,247.16","3,269.77","3,247.16","18.94B","0.84%"
"2017年03月15日","3241.76","3,235.40","3,243.71","3,227.74","14.41B","0.08%"
"2017年03月14日","3239.33","3,235.25","3,246.33","3,231.52","14.69B","0.07%"
"2017年03月13日","3237.02","3,209.45","3,237.12","3,193.16","16.37B","0.76%"
"2017年03月10日","3212.76","3,213.73","3,222.32","3,208.45","13.67B","-0.12%"
"2017年03月09日","3216.75","3,233.70","3,233.87","3,205.28","16.74B","-0.74%"
"2017年03月08日","3240.66","3,240.53","3,245.30","3,230.61","16.07B","-0.05%"
"2017年03月07日","3242.41","3,233.09","3,242.66","3,226.82","16.41B","0.26%"
"2017年03月06日","3233.87","3,217.33","3,234.66","3,215.07","15.61B","0.48%"
"2017年03月03日","3218.31","3,219.20","3,221.16","3,206.61","15.71B","-0.36%"
"2017年03月02日","3230.03","3,250.52","3,256.81","3,228.66","18.12B","-0.52%"
"2017年03月01日","3246.93","3,240.07","3,259.98","3,237.87","19.07B","0.16%"
"2017年02月28日","3241.73","3,225.97","3,242.68","3,225.97","15.12B","0.40%"
"2017年02月27日","3228.66","3,249.19","3,251.65","3,224.09","18.26B","-0.76%"
"2017年02月24日","3253.43","3,246.86","3,253.96","3,233.53","18.64B","0.06%"
"2017年02月23日","3251.38","3,258.83","3,264.08","3,236.35","20.92B","-0.30%"
"2017年02月22日","3261.22","3,252.69","3,261.38","3,243.84","20.75B","0.24%"
"2017年02月21日","3253.33","3,242.22","3,254.34","3,239.88","21.17B","0.41%"
"2017年02月20日","3239.96","3,198.96","3,241.46","3,198.96","23.22B","1.18%"
"2017年02月17日","3202.08","3,227.71","3,238.40","3,199.42","22.62B","-0.85%"
"2017年02月16日","3229.62","3,210.36","3,230.28","3,207.79","21.70B","0.52%"
"2017年02月15日","3212.99","3,215.46","3,236.00","3,206.56","24.15B","-0.15%"
"2017年02月14日","3217.93","3,216.14","3,219.40","3,205.29","18.88B","0.03%"
"2017年02月13日","3216.84","3,198.99","3,219.41","3,198.99","22.02B","0.63%"
"2017年02月10日","3196.70","3,183.01","3,205.05","3,182.80","23.93B","0.42%"
"2017年02月09日","3183.18","3,164.69","3,186.84","3,162.57","19.16B","0.51%"
"2017年02月08日","3166.98","3,148.09","3,167.45","3,132.03","14.49B","0.44%"
"2017年02月07日","3153.09","3,154.40","3,159.54","3,140.04","12.83B","-0.12%"
"2017年02月06日","3156.98","3,143.09","3,158.84","3,135.39","12.72B","0.54%"
"2017年02月03日","3140.17","3,160.08","3,162.68","3,136.01","9.22B","-0.60%"
