"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年12月04日","2665.96","2,651.56","2,666.08","2,644.90","16.79B","0.42%"
"2018年12月03日","2654.80","2,647.13","2,665.30","2,629.18","20.75B","2.57%"
"2018年11月30日","2588.19","2,564.56","2,590.21","2,555.32","13.93B","0.81%"
"2018年11月29日","2567.44","2,613.78","2,617.55","2,567.44","15.72B","-1.32%"
"2018年11月28日","2601.74","2,575.45","2,601.96","2,561.56","14.60B","1.05%"
"2018年11月27日","2574.68","2,585.83","2,592.54","2,566.17","12.37B","-0.04%"
"2018年11月26日","2575.81","2,580.84","2,595.00","2,568.04","13.43B","-0.14%"
"2018年11月23日","2579.48","2,640.67","2,642.04","2,577.35","19.15B","-2.49%"
"2018年11月22日","2645.43","2,655.90","2,658.00","2,634.48","14.93B","-0.23%"
"2018年11月21日","2651.51","2,619.82","2,653.80","2,617.78","18.26B","0.21%"
"2018年11月20日","2645.85","2,684.29","2,690.83","2,643.36","21.59B","-2.13%"
"2018年11月19日","2703.51","2,681.90","2,703.51","2,674.18","23.17B","0.91%"
"2018年11月16日","2679.11","2,669.78","2,695.57","2,657.03","24.22B","0.41%"
"2018年11月15日","2668.17","2,632.14","2,668.17","2,631.89","20.78B","1.36%"
"2018年11月14日","2632.24","2,648.31","2,658.31","2,627.96","23.84B","-0.85%"
"2018年11月13日","2654.88","2,600.50","2,666.49","2,597.35","24.93B","0.93%"
"2018年11月12日","2630.52","2,593.20","2,631.17","2,590.21","17.50B","1.22%"
"2018年11月09日","2598.87","2,621.24","2,621.24","2,598.16","15.24B","-1.39%"
"2018年11月08日","2635.63","2,660.09","2,662.37","2,632.30","15.96B","-0.22%"
"2018年11月07日","2641.34","2,659.84","2,675.68","2,639.25","17.32B","-0.68%"
"2018年11月06日","2659.36","2,660.72","2,660.86","2,635.32","16.37B","-0.23%"
"2018年11月05日","2665.43","2,665.43","2,673.19","2,639.27","19.38B","-0.41%"
"2018年11月02日","2676.48","2,649.25","2,676.48","2,628.87","22.50B","2.70%"
"2018年11月01日","2606.24","2,617.03","2,636.80","2,603.65","20.09B","0.13%"
"2018年10月31日","2602.78","2,573.01","2,612.92","2,567.03","18.06B","1.35%"
"2018年10月30日","2568.05","2,538.57","2,586.92","2,521.78","16.67B","1.02%"
"2018年10月29日","2542.10","2,593.59","2,595.54","2,529.19","13.42B","-2.18%"
"2018年10月26日","2598.85","2,610.90","2,626.12","2,580.85","15.89B","-0.19%"
"2018年10月25日","2603.80","2,540.93","2,606.10","2,531.53","16.20B","0.02%"
"2018年10月24日","2603.30","2,579.97","2,640.40","2,577.77","16.01B","0.33%"
"2018年10月23日","2594.83","2,652.65","2,659.81","2,583.26","17.83B","-2.26%"
"2018年10月22日","2654.88","2,565.64","2,675.41","2,565.64","21.19B","4.09%"
"2018年10月19日","2550.47","2,460.08","2,553.39","2,449.20","14.73B","2.58%"
"2018年10月18日","2486.42","2,544.91","2,544.91","2,485.62","12.54B","-2.94%"
"2018年10月17日","2561.61","2,574.31","2,582.55","2,517.57","13.00B","0.60%"
"2018年10月16日","2546.33","2,567.76","2,597.72","2,536.44","11.94B","-0.85%"
"2018年10月15日","2568.10","2,605.91","2,611.97","2,564.74","11.86B","-1.49%"
"2018年10月12日","2606.91","2,574.04","2,615.92","2,536.67","17.01B","0.91%"
"2018年10月11日","2583.46","2,643.07","2,661.29","2,560.32","19.72B","-5.22%"
"2018年10月10日","2725.84","2,723.72","2,743.55","2,703.06","11.35B","0.18%"
"2018年10月09日","2721.01","2,713.73","2,734.31","2,711.20","11.68B","0.17%"
"2018年10月08日","2716.51","2,768.21","2,771.94","2,710.18","14.95B","-3.72%"
"2018年09月28日","2821.35","2,794.26","2,821.76","2,791.84","13.43B","1.06%"
"2018年09月27日","2791.77","2,805.79","2,810.51","2,786.32","12.40B","-0.54%"
"2018年09月26日","2806.81","2,785.32","2,827.34","2,783.34","13.96B","0.92%"
"2018年09月25日","2781.14","2,775.07","2,790.03","2,771.16","11.20B","-0.58%"
"2018年09月21日","2797.48","2,733.87","2,797.49","2,722.03","15.80B","2.50%"
"2018年09月20日","2729.24","2,732.17","2,743.96","2,724.08","11.14B","-0.06%"
"2018年09月19日","2730.85","2,694.80","2,746.08","2,690.99","14.15B","1.14%"
"2018年09月18日","2699.95","2,644.30","2,700.19","2,644.30","11.58B","1.82%"
"2018年09月17日","2651.79","2,671.29","2,671.29","2,647.92","8.82B","-1.11%"
"2018年09月14日","2681.64","2,688.78","2,694.92","2,675.29","10.00B","-0.18%"
"2018年09月13日","2686.58","2,679.21","2,689.06","2,653.19","10.73B","1.15%"
"2018年09月12日","2656.11","2,659.74","2,672.07","2,647.17","9.00B","-0.33%"
"2018年09月11日","2664.80","2,668.49","2,680.57","2,652.70","9.99B","-0.18%"
"2018年09月10日","2669.48","2,698.01","2,703.43","2,667.32","10.36B","-1.21%"
"2018年09月07日","2702.30","2,696.68","2,728.55","2,683.72","10.75B","0.40%"
"2018年09月06日","2691.59","2,697.58","2,719.41","2,683.74","9.90B","-0.47%"
"2018年09月05日","2704.34","2,741.38","2,745.47","2,704.34","10.50B","-1.68%"
"2018年09月04日","2750.58","2,720.65","2,756.61","2,712.38","10.90B","1.10%"
"2018年09月03日","2720.73","2,716.40","2,722.85","2,692.36","10.22B","-0.17%"
"2018年08月31日","2725.25","2,730.11","2,744.63","2,710.54","10.98B","-0.46%"
"2018年08月30日","2737.74","2,769.33","2,780.53","2,736.35","10.61B","-1.14%"
"2018年08月29日","2769.29","2,774.86","2,778.54","2,762.35","10.02B","-0.31%"
"2018年08月28日","2777.98","2,782.29","2,791.39","2,769.40","11.87B","-0.10%"
"2018年08月27日","2780.90","2,736.32","2,780.90","2,736.32","13.28B","1.89%"
"2018年08月24日","2729.43","2,717.08","2,748.82","2,705.32","10.05B","0.18%"
"2018年08月23日","2724.62","2,714.87","2,736.01","2,700.80","9.84B","0.37%"
"2018年08月22日","2714.61","2,731.96","2,731.96","2,709.06","9.37B","-0.70%"
"2018年08月21日","2733.83","2,700.34","2,739.17","2,696.29","11.36B","1.31%"
"2018年08月20日","2698.47","2,673.07","2,698.47","2,653.11","11.08B","1.11%"
"2018年08月17日","2668.97","2,723.89","2,730.33","2,665.59","11.24B","-1.34%"
"2018年08月16日","2705.19","2,691.43","2,732.95","2,672.74","12.03B","-0.66%"
"2018年08月15日","2723.26","2,777.25","2,777.70","2,721.24","11.62B","-2.07%"
"2018年08月14日","2780.96","2,780.74","2,789.44","2,766.57","10.96B","-0.18%"
"2018年08月13日","2785.87","2,769.02","2,789.80","2,742.56","12.75B","-0.34%"
"2018年08月10日","2795.31","2,791.40","2,806.11","2,777.51","12.15B","0.03%"
"2018年08月09日","2794.38","2,729.58","2,801.66","2,726.22","15.17B","1.83%"
"2018年08月08日","2744.07","2,771.13","2,779.91","2,741.07","14.77B","-1.27%"
"2018年08月07日","2779.37","2,711.74","2,779.37","2,696.04","14.96B","2.74%"
"2018年08月06日","2705.16","2,736.53","2,760.47","2,692.32","12.98B","-1.29%"
"2018年08月03日","2740.44","2,763.40","2,777.66","2,740.43","12.70B","-1.00%"
"2018年08月02日","2768.02","2,815.34","2,815.34","2,726.48","17.42B","-2.00%"
"2018年08月01日","2824.53","2,882.51","2,897.40","2,823.93","14.95B","-1.80%"
"2018年07月31日","2876.40","2,866.90","2,884.68","2,854.32","11.89B","0.26%"
"2018年07月30日","2869.05","2,871.94","2,896.01","2,850.30","15.17B","-0.16%"
"2018年07月27日","2873.59","2,879.69","2,889.69","2,864.11","14.64B","-0.30%"
"2018年07月26日","2882.23","2,905.79","2,915.30","2,875.70","16.84B","-0.74%"
"2018年07月25日","2903.65","2,911.45","2,912.31","2,894.04","16.78B","-0.07%"
"2018年07月24日","2905.56","2,862.27","2,911.46","2,862.27","22.96B","1.61%"
"2018年07月23日","2859.54","2,815.20","2,863.57","2,809.62","17.34B","1.07%"
"2018年07月20日","2829.27","2,769.75","2,837.86","2,753.84","14.59B","2.05%"
