Date,Close
"20190131","2584.57"
"20190130","2575.58"
"20190129","2594.25"
"20190128","2596.98"
"20190125","2601.72"
"20190124","2591.69"
"20190123","2581.00"
"20190122","2579.70"
"20190121","2610.51"
"20190118","2596.01"
"20190117","2559.64"
"20190116","2570.42"
"20190115","2570.34"
"20190114","2535.77"
"20190111","2553.83"
"20190110","2535.10"
"20190109","2544.34"
"20190108","2526.46"
"20190107","2533.09"
"20190104","2514.87"
"20190103","2464.36"
"20190102","2465.29"
"20181228","2493.90"
"20181227","2483.09"
"20181226","2498.29"
"20181225","2504.82"
"20181224","2527.01"
"20181221","2516.25"
"20181220","2536.27"
"20181219","2549.56"
"20181218","2576.65"
"20181217","2597.97"
"20181214","2593.74"
"20181213","2634.05"
"20181212","2602.15"
"20181211","2594.09"
"20181210","2584.58"
"20181207","2605.89"
"20181206","2605.18"
"20181205","2649.81"
"20181204","2665.96"
"20181203","2654.80"
"20181130","2588.19"
"20181129","2567.44"
"20181128","2601.74"
"20181127","2574.68"
"20181126","2575.81"
"20181123","2579.48"
"20181122","2645.43"
"20181121","2651.51"
"20181120","2645.85"
"20181119","2703.51"
"20181116","2679.11"
"20181115","2668.17"
"20181114","2632.24"
"20181113","2654.88"
"20181112","2630.52"
"20181109","2598.87"
"20181108","2635.63"
"20181107","2641.34"
"20181106","2659.36"
"20181105","2665.43"
"20181102","2676.48"
"20181101","2606.24"
"20181031","2602.78"
"20181030","2568.05"
"20181029","2542.10"
"20181026","2598.85"
"20181025","2603.80"
"20181024","2603.30"
"20181023","2594.83"
"20181022","2654.88"
"20181019","2550.47"
"20181018","2486.42"
"20181017","2561.61"
"20181016","2546.33"
"20181015","2568.10"
"20181012","2606.91"
"20181011","2583.46"
"20181010","2725.84"
"20181009","2721.01"
"20181008","2716.51"
"20180928","2821.35"
"20180927","2791.77"
"20180926","2806.81"
"20180925","2781.14"
"20180921","2797.48"
"20180920","2729.24"
"20180919","2730.85"
"20180918","2699.95"
"20180917","2651.79"
"20180914","2681.64"
"20180913","2686.58"
"20180912","2656.11"
"20180911","2664.80"
"20180910","2669.48"
"20180907","2702.30"
"20180906","2691.59"
"20180905","2704.34"
"20180904","2750.58"
"20180903","2720.73"
"20180831","2725.25"
"20180830","2737.74"
"20180829","2769.29"
"20180828","2777.98"
"20180827","2780.90"
"20180824","2729.43"
"20180823","2724.62"
"20180822","2714.61"
"20180821","2733.83"
"20180820","2698.47"
"20180817","2668.97"
"20180816","2705.19"
"20180815","2723.26"
"20180814","2780.96"
"20180813","2785.87"
"20180810","2795.31"
"20180809","2794.38"
"20180808","2744.07"
"20180807","2779.37"
"20180806","2705.16"
"20180803","2740.44"
"20180802","2768.02"
"20180801","2824.53"
"20180731","2876.40"
"20180730","2869.05"
"20180727","2873.59"
"20180726","2882.23"
"20180725","2903.65"
"20180724","2905.56"
"20180723","2859.54"
"20180720","2829.27"
"20180719","2772.55"
"20180718","2787.26"
"20180717","2798.13"
"20180716","2814.04"
"20180713","2831.18"
"20180712","2837.66"
"20180711","2777.77"
"20180710","2827.63"
"20180709","2815.11"
"20180706","2747.23"
"20180705","2733.88"
"20180704","2759.13"
"20180703","2786.89"
"20180702","2775.56"
"20180629","2847.42"
"20180628","2786.90"
"20180627","2813.18"
"20180626","2844.51"
"20180625","2859.34"
"20180622","2889.76"
"20180621","2875.81"
"20180620","2915.73"
"20180619","2907.82"
"20180615","3021.90"
"20180614","3044.16"
"20180613","3049.80"
"20180612","3079.80"
"20180611","3052.78"
"20180608","3067.15"
"20180607","3109.50"
"20180606","3115.18"
"20180605","3114.21"
"20180604","3091.19"
"20180601","3075.14"
"20180531","3095.47"
"20180530","3041.44"
"20180529","3120.46"
"20180528","3135.08"
"20180525","3141.30"
"20180524","3154.65"
"20180523","3168.96"
"20180522","3214.35"
"20180521","3213.84"
"20180518","3193.30"
"20180517","3154.28"
"20180516","3169.57"
"20180515","3192.12"
"20180514","3174.03"
"20180511","3163.26"
"20180510","3174.41"
"20180509","3159.15"
"20180508","3161.50"
"20180507","3136.64"
"20180504","3091.03"
"20180503","3100.86"
"20180502","3081.18"
"20180427","3082.23"
"20180426","3075.03"
"20180425","3117.97"
"20180424","3128.93"
"20180423","3068.01"
"20180420","3071.54"
"20180419","3117.38"
"20180418","3091.40"
"20180417","3066.80"
"20180416","3110.65"
"20180413","3159.05"
"20180412","3180.16"
"20180411","3208.08"
"20180410","3190.32"
"20180409","3138.29"
"20180404","3131.11"
"20180403","3136.63"
"20180402","3163.18"
"20180330","3168.90"
"20180329","3160.53"
"20180328","3122.29"
"20180327","3166.65"
"20180326","3133.72"
"20180323","3152.76"
"20180322","3263.48"
"20180321","3280.95"
"20180320","3290.64"
"20180319","3279.25"
"20180316","3269.88"
"20180315","3291.11"
"20180314","3291.38"
"20180313","3310.24"
"20180312","3326.70"
"20180309","3307.17"
"20180308","3288.41"
"20180307","3271.67"
"20180306","3289.64"
"20180305","3256.93"
"20180302","3254.53"
"20180301","3273.75"
"20180228","3259.41"
"20180227","3292.07"
"20180226","3329.57"
"20180223","3289.02"
"20180222","3268.56"
"20180214","3199.16"
"20180213","3184.96"
"20180212","3154.13"
"20180209","3129.85"
"20180208","3262.05"
"20180207","3309.26"
"20180206","3370.65"
"20180205","3487.50"
"20180202","3462.08"
"20180201","3446.98"
"20180131","3480.83"
